"X"	"Tillage"	"DVS"	"Biomass"
"50"	50	"CT"	1	42.79522241
"39"	39	"CT"	0.490388663	3.62862863
"33"	33	"CA+"	1.388068561	85.26909271
"9"	9	"CA-"	1	37.7156002
"49"	49	"CT"	1	54.87900692
"54"	54	"CT"	1.388068561	270.4160471
"28"	28	"CA+"	1	74.42755264
"51"	51	"CT"	1.388068561	246.4736243
"7"	7	"CA-"	0.748889201	26.64710167
"45"	45	"CT"	0.748889201	21.84160905
"24"	24	"CA+"	0.748889201	12.08564335
"22"	22	"CA+"	0.490388663	1.560349414
"6"	6	"CA-"	0.748889201	68.21821819
"26"	26	"CA+"	0.748889201	11.27468616
"2"	2	"CA-"	0.490388663	1.309001308
"48"	48	"CT"	1	114.2407517
"13"	13	"CA-"	1.388068561	100.7209132
"12"	12	"CA-"	1.388068561	48.2025909
"43"	43	"CT"	0.748889201	74.80437429
"23"	23	"CA+"	0.490388663	11.22219442
"14"	14	"CA-"	1.388068561	158.3894974
"27"	27	"CA+"	0.748889201	63.9362974
"35"	35	"CA+"	1.388068561	323.9773106
"16"	16	"CA-"	2	103.7269983
"37"	37	"CA+"	2	200.848896
"11"	11	"CA-"	1	52.87128042
"3"	3	"CA-"	0.490388663	7.030325777
"10"	10	"CA-"	1	116.087252
"15"	15	"CA-"	1.388068561	168.0453182
"19"	19	"CA-"	2	152.5598327
"34"	34	"CA+"	1.388068561	174.621236
"38"	38	"CA+"	2	579.6046045
"8"	8	"CA-"	1	50.63560902
"25"	25	"CA+"	0.748889201	17.34921198
"42"	42	"CT"	0.490388663	1.965557791
"56"	56	"CT"	2	361.9505493
"47"	47	"CT"	1	187.806893
"58"	58	"CT"	2	317.4047834
"52"	52	"CT"	1.388068561	345.5412829
"57"	57	"CT"	2	295.0319506
"41"	41	"CT"	0.490388663	3.47331343
"40"	40	"CT"	0.490388663	16.14279114
"44"	44	"CT"	0.748889201	61.80823679
"20"	20	"CA+"	0.490388663	1.007136946
"55"	55	"CT"	2	513.6421369
"1"	1	"CA-"	0.490388663	0.541232722
"5"	5	"CA-"	0.748889201	5.910564821
"53"	53	"CT"	1.388068561	128.1885083
"29"	29	"CA+"	1	48.94600488
"36"	36	"CA+"	2	231.4165129
"31"	31	"CA+"	1	147.7895951
"32"	32	"CA+"	1.388068561	39.62375842
"17"	17	"CA-"	2	284.4575343
"21"	21	"CA+"	0.490388663	0.908506547
"18"	18	"CA-"	2	431.9106036
"30"	30	"CA+"	1	101.5051511
"46"	46	"CT"	0.748889201	31.41491005
"4"	4	"CA-"	0.490388663	2.030325782
